Institution,SpecNo,Taxon,Element,SampleNo,Pit,Uncal14CYBP,Uncal14CSE,Source,Quality
LACM,HC-A667,Smilodon fatalis,Femur L,QC279,3,13035,275,Marcus and Berger (1984),2
LACM,HC-A686,Smilodon fatalis,Femur L,QC280,60,27900,2700,Marcus and Berger (1984),2
LACM,HC-K3407,Smilodon fatalis,Femur R,QC283,3,19555,820,Marcus and Berger (1984),2
LACM,HC-A979,Smilodon fatalis,Femur L,QC302A,61/67,11640,135,Marcus and Berger (1984),2
LACM,HC-A979,Smilodon fatalis,Femur L,QC302B,61/67,11980,260,Marcus and Berger (1984),2
LACM,HC-A1089,Smilodon fatalis,Femur R,QC339,13,15360,480,Marcus and Berger (1984),2
LACM,HC-6139,Paramylodon harlani,Rib,QC361,60,23420,350,Marcus and Berger (1984),2
LACM,HC-Z4767,Equus sp.,Metacarpal L,QC365,60,>28850,Limit,Marcus and Berger (1984),2
LACM,HC-Y2451,Bison antiquus,Metacarpal,QC371,16,12275,775,Marcus and Berger (1984),2
UCMP,none,Paramylodon harlani,Rib,QC381,2051,19480,550,Marcus and Berger (1984),2
LACM,HC-Z3245,Equus sp.,Radius L,QC384,91,8850,455,Marcus and Berger (1984),0
LACM,HC-6167,Smilodon fatalis,Femur L,QC386,4,26995,4000,Marcus and Berger (1984),2
UCMP,none,Paramylodon harlani,Rib,QC390,2051,20450,460,Marcus and Berger (1984),2
LACM,HC-6166,Smilodon fatalis,Femur L,QC401,3,13820,840,Marcus and Berger (1984),2
LACM,HC-6131,Equus sp.,Tibia,QC405a,81,10940,510,Marcus and Berger (1984),0
LACM,HC-6131,Equus sp.,Tibia,QC405b,81,14415,3250,Marcus and Berger (1984),2
LACM,HC-6124,Equus sp.,Tibia R,QC410,60,24900,3360,Marcus and Berger (1984),2
LACM,HC-6152,Equus sp.,Femur L,QC412,4,22000,1200,Marcus and Berger (1984),2
LACM,HC-6129,Smilodon fatalis,Humerus R,QC413,61/67,11130,275,Marcus and Berger (1984),2
LACM,HC-6161,Smilodon fatalis,Humerus R,QC414,3,13745,275,Marcus and Berger (1984),2
LACM,HC-6156,Bison antiquus,Femur R,QC420,13,14310,920,Marcus and Berger (1984),2
UCMP,none,Equus sp.,Femur,QC430a,2051,6160,530,Marcus and Berger (1984),0
UCMP,none,Equus sp.,Femur,QC430b,2051,26140,2200,Marcus and Berger (1984),2
UCMP,none,Smilodon fatalis,Rib,QC431,2051,22355,3400,Marcus and Berger (1984),2
UCMP,none,Smilodon fatalis,Humerus,QC435a,2051,18475,320,Marcus and Berger (1984),2
UCMP,none,Smilodon fatalis,Humerus,QC435b,2051,20900,2700,Marcus and Berger (1984),0
UCMP,none,Smilodon fatalis,Humerus,QC436,2051,20410,2450,Marcus and Berger (1984),0
UCMP,none,Smilodon fatalis,Ulna,QC438a,2051,28250,1030,Marcus and Berger (1984),2
UCMP,none,Smilodon fatalis,Ulna,QC438b,2051,>29760,Limit,Marcus and Berger (1984),0
UCMP,none,Smilodon fatalis,Femur,QC440,2051,23850,1200,Marcus and Berger (1984),2
UCMP,none,Camelops hesternus,Metacarpal,QC442a,2051,17630,1400,Marcus and Berger (1984),0
UCMP,none,Camelops hesternus,Metacarpal,QC442b,2051,20300,1750,Marcus and Berger (1984),2
UCMP,none,Paramylodon harlani,Rib,QC442c,2051,22890,500,Marcus and Berger (1984),2
LACM,HC-133,Ursus arctos,Femur L,QC916R,10,5270,155,Marcus and Berger (1984),2
LACM,RLP-R50546,Canis dirus,Tibia L,SR-5271,91,28310,170,Friscia et al. (2008),2
LACM,RLP-R14492,Canis dirus,Radius R,SR-5272,91,14040,50,Friscia et al. (2008),2
LACM,RLP-R37351,Canis dirus,Humerus R,SR-5273,91,39090,580,Friscia et al. (2008),2
LACM,RLP-R28227,Canis dirus,Humerus R,SR-5274,91,27660,120,Friscia et al. (2008),2
LACM,RLP-R34802,Smilodon fatalis,Humerus R,SR-5275,91,28170,160,Friscia et al. (2008),2
LACM,RLP-R25591,Smilodon fatalis,Tibia L,SR-5276,91,25710,140,Friscia et al. (2008),2
LACM,RLP-R32497,Canis dirus,Tibia L,SR-5444,91,23060,90,Friscia et al. (2008),2
LACM,RLP-R16837,Canis dirus,Radius L,SR-5445,91,27560,130,Friscia et al. (2008),2
LACM,RLP-R39004,Canis dirus,Humerus R,SR-5446,91,41940,790,Friscia et al. (2008),2
LACM,RLP-R23621,Canis dirus,Femur L,SR-5447,91,28360,160,Friscia et al. (2008),2
LACM,RLP-R22719,Smilodon fatalis,Humerus L,SR-5449,91,27220,140,Friscia et al. (2008),2
LACM,RLP-R16695,Smilodon fatalis,Radius R,SR-5586,91,27350,120,Friscia et al. (2008),2
LACM,RLP-R26134,Smilodon fatalis,Tibia R,SR-5587,91,28320,140,Friscia et al. (2008),2
LACM,RLP-R27932,Smilodon fatalis,Vertebra caudal,SR-5588,91,25740,100,Friscia et al. (2008),2
LACM,RLP-R36962,Canis dirus,Humerus R,SR-5589,91,28070,130,Friscia et al. (2008),2
LACM,RLP-R42645,Smilodon fatalis,Metacarpal L II,SR-5590,91,44300,850,Friscia et al. (2008),2
LACM,RLP-R49462,Canis dirus,Innominate L,SR-5591,91,43000,720,Friscia et al. (2008),2
LACM,RLP-R15199,Canis dirus,Ulna L,SR-5821,91,44650,2830,Friscia et al. (2008),2
LACM,RLP-R21648,Smilodon fatalis,Astragalus R,SR-5822,91,24930,240,Friscia et al. (2008),2
LACM,RLP-R23755,Smilodon fatalis,Tibia L,SR-5823,91,28150,360,Friscia et al. (2008),2
LACM,RLP-R29823,Canis dirus,Humerus R,SR-5824,91,28580,380,Friscia et al. (2008),2
LACM,RLP-R35212,Smilodon fatalis,Humerus L,SR-5825,91,26150,280,Friscia et al. (2008),2
LACM,RLP-R26201,Smilodon fatalis,Calcaneum L,SR-5826,91,26120,280,Friscia et al. (2008),2
LACM,RLP-R39292 ,Canis dirus,Radius R,SR-5827,91,28510,380,Friscia et al. (2008),2
LACM,RLP-R15406,Canis dirus,Tibia R,SR-5999,91,41800,800,Friscia et al. (2008),2
LACM,RLP-R22376,Smilodon fatalis,Radius R,SR-6000,91,28240,160,Friscia et al. (2008),2
LACM,RLP-R34667,Canis dirus,Vertebra thoracic VII,SR-6001,91,35800,400,Friscia et al. (2008),2
LACM,RLP-R39320,Canis dirus,Humerus R,SR-6002,91,28620,200,Friscia et al. (2008),2
LACM,RLP-R45830,Smilodon fatalis,Vertebra thoracic VIII,SR-6003,91,27820,150,Friscia et al. (2008),2
LACM,RLP-R48706,Smilodon fatalis,Astragalus R,SR-6004,91,27620,150,Friscia et al. (2008),2
LACM,RLP-R49462,Canis dirus,Innominate L,SR-6005,91,44600,1100,Friscia et al. (2008),2
LACM,RLP-R22420,Canis dirus,Radius L,SR-6136,91,27460,130,Friscia et al. (2008),2
LACM,RLP-R41785,Canis dirus,Radius L,SR-6137,91,28430,140,Friscia et al. (2008),2
LACM,RLP-R18896,Canis dirus,Radius L,SR-6138,91,41010,580,Friscia et al. (2008),2
LACM,RLP-R27065,Canis dirus,Radius L,SR-6139,91,28400,130,Friscia et al. (2008),2
LACM,RLP-R50952,Canis dirus,Radius R,SR-6140,91,27890,130,Friscia et al. (2008),2
LACM,RLP-R39006,Canis dirus,Radius L,SR-6141,91,28270,130,Friscia et al. (2008),2
LACM,RLP-R50699,Canis dirus,Radius L,SR-6142,91,27860,140,Friscia et al. (2008),2
LACM,RLP-R54035,Canis dirus,Radius R,SR-6143,91,27680,140,Friscia et al. (2008),2
LACM,RLP-R30312,Canis dirus,Radius L,SR-6144,91,28330,200,Friscia et al. (2008),2
LACM,RLP-R29708,Canis dirus,Radius L,SR-6146,91,26840,120,Friscia et al. (2008),2
LACM,RLP-R36388,Nothrotheriops shastensis,Cuboid L,SR-6711,91,28590,240,Friscia et al. (2008),2
LACM,RLP-R38722,Nothrotheriops shastensis,Astragalus R,SR-6712,91,28530,240,Friscia et al. (2008),2
LACM,RLP-R22385,Nothrotheriops shastensis,Calcaneum L,SR-6713,91,28350,240,Friscia et al. (2008),2
LACM,RLP-R22811,Puma concolor,Humerus L,SR-6714,91,28650,250,Friscia et al. (2008),2
LACM,RLP-R54033,Puma concolor,Radius L,SR-6715,91,28650,240,Friscia et al. (2008),2
LACM,P23-967,Smilodon fatalis,,UCIAMS109432,P23-1,34520,880,Fuller et al. (2014),10–30 kDa
LACM,P23-4096,Panthera atrox,,UCIAMS109433,P23-1,34400,680,Fuller et al. (2014),10–30 kDa
LACM,HC-K3569,Smilodon fatalis,,UCIAMS109442,61/67,12540,45,Fuller et al. (2014),3–30 kDa
LACM,HC-K3593,Smilodon fatalis,,UCIAMS109443,61/67,11795,40,Fuller et al. (2014),3–30 kDa
LACM,P23-967,Smilodon fatalis,,UCIAMS109445,P23-1,33170,570,Fuller et al. (2014),3–30 kDa
LACM,P23-2294,Canis dirus,,UCIAMS109446,P23-1,34150,650,Fuller et al. (2014),3–30 kDa
LACM,P23-4096,Panthera atrox,,UCIAMS109447,P23-1,34810,830,Fuller et al. (2014),3–30 kDa
LACM,P23-6185,Smilodon fatalis,,UCIAMS109449,P23-7B,40200,1900,Fuller et al. (2014),3–30 kDa
LACM,P23-4096,Panthera atrox,,UCIAMS109454,P23-1,33310,590,Fuller et al. (2014),3–30 kDa
LACM,HC-K3593,Smilodon fatalis,,UCIAMS111956,61/67,11855,35,Fuller et al. (2014),3–30 kDa
LACM,P23-967,Smilodon fatalis,,UCIAMS111958,P23-1,35000,590,Fuller et al. (2014),3–30 kDa
LACM,P23-2294,Canis dirus,,UCIAMS111959,P23-1,35300,610,Fuller et al. (2014),3–30 kDa
LACM,P23-4096,Panthera atrox,,UCIAMS111960,P23-1,35000,590,Fuller et al. (2014),3–30 kDa
LACM,P23-5002,Bison antiquus,,UCIAMS111962,P23-14,47500,2800,Fuller et al. (2014),3–30 kDa
LACM,P23-6184,Canis dirus,,UCIAMS111964,P23-14,40400,1200,Fuller et al. (2014),3–30 kDa
LACM,P23-6185,Smilodon fatalis,,UCIAMS111965,P23-7B,40400,1200,Fuller et al. (2014),3–30 kDa
LACM,P23-1316,Mammuthus columbi,,UCIAMS111975,P23-11,35000,1300,Fuller et al. (2014),3–30 kDa
LACM,P23-5003,Camelops hesternus,,UCIAMS111980,P23-5B,42600,1700,Fuller et al. (2014),3–30 kDa
LACM,P23-2294,Canis dirus,,UCIAMS112119,P23-1,34500,630,Fuller et al. (2014),3–30 kDa
LACM,P23-5002,Bison antiquus,,UCIAMS112120,P23-14,40600,1300,Fuller et al. (2014),3–30 kDa
LACM,P23-6184,Canis dirus,,UCIAMS112121,P23-14,45900,2500,Fuller et al. (2014),3–30 kDa
LACM,P23-1316,Mammuthus columbi,,UCIAMS112814,P23-11,35600,1200,Fuller et al. (2014),3–30 kDa
LACM,P23-2294,Canis dirus,,UCIAMS114083,P23-1,34950,590,Fuller et al. (2014),3–30 kDa
LACM,P23-5002,Bison antiquus,,UCIAMS114084,P23-14,>45900,Limit,Fuller et al. (2014),3–30 kDa
LACM,P23-6184,Canis dirus,,UCIAMS114085,P23-14,>46400,Limit,Fuller et al. (2014),3–30 kDa
LACM,P23-1316,Mammuthus columbi,,UCIAMS114089,P23-11,37350,710,Fuller et al. (2014),3–30 kDa
LACM,P23-5002,Bison antiquus,,UCIAMS114090,P23-14,>47800,Limit,Fuller et al. (2014),3–30 kDa
LACM,P23-6184,Canis dirus,,UCIAMS114091,P23-14,38910,850,Fuller et al. (2014),3–30 kDa
LACM,HC-K3569,Smilodon fatalis,,UCIAMS115585,61/67,12455,35,Fuller et al. (2014),3–30 kDa
LACM,HC-K3593,Smilodon fatalis,,UCIAMS115586,61/67,11915,35,Fuller et al. (2014),3–30 kDa
LACM,P23-2294,Canis dirus,,UCIAMS115587,P23-1,34140,530,Fuller et al. (2014),3–30 kDa
LACM,P23-6184,Canis dirus,,UCIAMS115588,P23-14,42400,1500,Fuller et al. (2014),3–30 kDa
LACM,HC-K3569,Smilodon fatalis,,UCIAMS115591,61/67,12520,35,Fuller et al. (2014),3–30 kDa
LACM,HC-K3593,Smilodon fatalis,,UCIAMS115592,61/67,11935,30,Fuller et al. (2014),3–30 kDa
LACM,P23-2294,Canis dirus,,UCIAMS115593,P23-1,34650,510,Fuller et al. (2014),3–30 kDa
LACM,P23-693,Panthera atrox,,UCIAMS125322,P23-1,34860,710,Fuller et al. (2014),3–30 kDa
LACM,P23-659,Panthera atrox,,UCIAMS125323,P23-1,36260,840,Fuller et al. (2014),3–30 kDa
LACM,P23-2294,Canis dirus,,UCIAMS125334,P23-1,34870,640,Fuller et al. (2014),3–30 kDa
LACM,HC-K3569,Smilodon fatalis,,UCIAMS125335,61/67,12560,40,Fuller et al. (2014),3–30 kDa
LACM,HC-K3593,Smilodon fatalis,,UCIAMS125336,61/67,11940,40,Fuller et al. (2014),3–30 kDa
LACM,HC-Z1078,Mammut americanum,,UCIAMS91642,3,14250,35,Fuller et al. (2014),Not ultrafiltered
LACM,HC-60247,Mammut americanum,,UCIAMS91643,3,14335,35,Fuller et al. (2014),Not ultrafiltered
LACM,HC-85217,Mammut americanum,,UCIAMS91644,61/67,12265,30,Fuller et al. (2014),Not ultrafiltered
LACM,HC-85216,Mammut americanum,,UCIAMS91645,61/67,12410,30,Fuller et al. (2014),Not ultrafiltered
LACM,HC-85219,Mammut americanum,,UCIAMS91646,61/67,12380,35,Fuller et al. (2014),Not ultrafiltered
LACM,HC-35353,Smilodon fatalis,,UCIAMS91647,3,12965,30,Fuller et al. (2014),Not ultrafiltered
LACM,HC-35915,Smilodon fatalis,,UCIAMS91648,67,11590,30,Fuller et al. (2014),Not ultrafiltered
LACM,RLP-R17668,Smilodon fatalis,,UCIAMS91649,91,26270,130,Fuller et al. (2014),Not ultrafiltered
LACM,HC-X7098,Panthera atrox,,UCIAMS91650,61,12055,30,Fuller et al. (2014),Not ultrafiltered
LACM,HC-X7117,Panthera atrox,,UCIAMS91651,67,12465,30,Fuller et al. (2014),<30 kDa
LACM,HC-85217,Mammut americanum,,UCIAMS91652,61/67,14270,80,Fuller et al. (2014),>30 kDa
LACM,HC-85219,Mammut americanum,,UCIAMS91653,61/67,16840,70,Fuller et al. (2014),>30 kDa
LACM,HC-35915,Smilodon fatalis,,UCIAMS91654,67,13950,60,Fuller et al. (2014),>30 kDa
LACM,RLP-R17668,Smilodon fatalis,,UCIAMS91655,91,28100,210,Fuller et al. (2014),>30 kDa
LACM,HC-Z1078,Mammut americanum,,UCIAMS91674,3,14050,45,Fuller et al. (2014),<30 kDa
LACM,HC-60247,Mammut americanum,,UCIAMS91675,3,14020,45,Fuller et al. (2014),<30 kDa
LACM,HC-85217,Mammut americanum,,UCIAMS91676,61/67,12095,40,Fuller et al. (2014),<30 kDa
LACM,HC-85216,Mammut americanum,,UCIAMS91677,61/67,12035,35,Fuller et al. (2014),<30 kDa
LACM,HC-85219,Mammut americanum,,UCIAMS91678,61/67,11970,35,Fuller et al. (2014),<30 kDa
LACM,HC-35353,Smilodon fatalis,,UCIAMS91679,3,12645,40,Fuller et al. (2014),<30 kDa
LACM,HC-35915,Smilodon fatalis,,UCIAMS91680,67,11335,35,Fuller et al. (2014),<30 kDa
LACM,RLP-R17668,Smilodon fatalis,,UCIAMS91681,91,26370,200,Fuller et al. (2014),<30 kDa
LACM,HC-X7098,Panthera atrox,,UCIAMS91682,61,11895,35,Fuller et al. (2014),<30 kDa
LACM,HC-X7117,Panthera atrox,,UCIAMS91683,67,12225,35,Fuller et al. (2014),<30 kDa
LACM,HC-A511,Smilodon fatalis,Femur L,UCLA1292Aa,3,21400,560,Marcus and Berger (1984),2
LACM,HC-Y6738,Bison latifrons,Scapula L,UCLA1292Ab,4,13500,170,Marcus and Berger (1984),2
LACM,HC-1268,Mammut americanum,Tibia L,UCLA1292AA,3,14430,200,Marcus and Berger (1984),2
LACM,HC-A642,Smilodon fatalis,Femur L,UCLA1292B,3,12650,160,Marcus and Berger (1984),2
LACM,HC-1323,Homo sapiens,Femur L,UCLA1292BB,10,9000,80,Marcus and Berger (1984),2
LACM,HC-A398,Smilodon fatalis,Femur L,UCLA1292C,3,14500,190,Marcus and Berger (1984),2
LACM,HC-6945,Equus sp.,Femur L,UCLA1292CC,10,15700,530,Marcus and Berger (1984),2
LACM,HC-A411,Smilodon fatalis,Femur L,UCLA1292D,4,28000,1400,Marcus and Berger (1984),2
LACM,HC-A835,Smilodon fatalis,Femur R,UCLA1292E,3,14400,2100,Marcus and Berger (1984),2
LACM,HC-A797,Smilodon fatalis,Femur L,UCLA1292F,13,14950,430,Marcus and Berger (1984),2
LACM,HC-A846,Smilodon fatalis,Femur L,UCLA1292G,4,26700,900,Berger and Libby (1968),2
LACM,HC-A4435,Smilodon fatalis,Femur R,UCLA1292H,60,23700,600,Marcus and Berger (1984),2
LACM,HC-A4436,Smilodon fatalis,Femur R,UCLA1292I,13,15300,200,Marcus and Berger (1984),2
LACM,HC-A511,Smilodon fatalis,Femur L,UCLA1292J,3,20500,900,Marcus and Berger (1984),2
LACM,HC-K3407,Smilodon fatalis,Femur R,UCLA1292K,3,19300,395,Marcus and Berger (1984),2
LACM,HC-A502,Smilodon fatalis,Femur L,UCLA1292La,61/67,12200,200,Marcus and Berger (1984),2
LACM,HC-T6101,Smilodon fatalis,Tibia L,UCLA1292Lb,4,15200,800,Marcus and Berger (1984),2
LACM,HC-A641,Smilodon fatalis,Femur L,UCLA1292M,4,>36000,Limit,Marcus and Berger (1984),2
LACM,HC-A1077,Smilodon fatalis,Femur R,UCLA1292N,4,12760,150,Marcus and Berger (1984),2
LACM,HC-A768,Smilodon fatalis,Femur L,UCLA1292O,4,29600,1100,Marcus and Berger (1984),2
LACM,HC-A657,Smilodon fatalis,Femur L,UCLA1292R,4,19800,300,Marcus and Berger (1984),2
LACM,HC-A1176,Smilodon fatalis,Femur L,UCLA1292S,4,35500,2200,Marcus and Berger (1984),2
LACM,HC-Z6009,Mammut americanum,Ulna R,UCLA1292T,3,14350,175,Marcus and Berger (1984),2
LACM,HC-A465,Smilodon fatalis,Femur L,UCLA1292U,77,33100,600,Marcus and Berger (1984),2
LACM,HC-A439,Smilodon fatalis,Femur L,UCLA1292Wa,77,31300,1350,Marcus and Berger (1984),2
LACM,HC-A677,Smilodon fatalis,Femur L,UCLA1292Wb,77,28200,980,Marcus and Berger (1984),2
LACM,HC-A498,Smilodon fatalis,Femur L,UCLA1292X,61/67,12000,125,Marcus and Berger (1984),2
LACM,HC-Y5664,Bison antiquus,Axis,UCLA1292Z,4,27000,1600,Marcus and Berger (1984),2
LACM,RLP-R51289,Smilodon fatalis,Sacrum,UCLA1718,91,30800,600,Marcus and Berger (1984),2
LACM,RLP-R51288,Smilodon fatalis,Humerus R,UCLA1738A,91,25100,850,Marcus and Berger (1984),2
LACM,RLP-R51287,Smilodon fatalis,Humerus L,UCLA1738B,91,33000,1750,Marcus and Berger (1984),2
LACM,RLP-R51289,Smilodon fatalis,Femur R,UCLA1738C,91,29100,1200,Marcus and Berger (1984),2
LACM,RLP-R51285,Smilodon fatalis,Femur R,UCLA1738D,91,32600,2800,Marcus and Berger (1984),2
LACM,RLP-R51286,Smilodon fatalis,Tibia,UCLA1738F,91,25100,1100,Marcus and Berger (1984),2
